site,address,city,population,program type,site type,detail,Capacity,capacity_status,capacity desc,opened,LAT,LON
Taimon Booton Navigation Center,680 Bryant Street,San Francisco,adult,navigation,congregate,"Navigation Center (Transgender, Nonbinary, Women)",84,known,84,2022,37.7784192,-122.3999805
Jelani House,1601 Quesada Avenue,,,,,,10,unknown,Unknown,,37.7321801,-122.3900322
Geary House (G-House),6324 Geary Boulevard,,,,,,10,unknown,Unknown,,37.7802575,-122.4874092
Kinney Stabilization Program ,410 Eddy Street,,,,,,10,unknown,Unknown,,37.7838948,-122.4145974
Castro Youth Housing Initiative (CYHI - Moss),61 Moss Street,,,,,,10,unknown,Unknown,,37.7777774,-122.4078366
Clara House / Compass,111 Page Street,,,,,,10,unknown,Unknown,,37.7739724,-122.4226347
Railton Place,242 Turk Street,,,,,,10,unknown,Unknown,,37.7832818,-122.4133306
Routz Transitional Living Program (Aarti),501 Ellis Street,,,,,,10,unknown,Unknown,,37.784561,-122.41453
Routz Transitional Living Program (Scattered sites),50 Sadowa Street,,,,,,10,unknown,Unknown,,37.712408,-122.455356
Routz Transitional Living Program (Scattered sites),52 Sadowa Street,,,,,,10,unknown,Unknown,,37.7124078,-122.4553782
Routz Transitional Living Program (Scattered sites),1353 Harrison Street,,,,,,10,unknown,Unknown,,37.7718733,-122.4106313
